run_ts,ticker,timeframe,direction,composite_score,wyckoff_score,range_score,volume_score,spring_score,confirmation_score,rs_vs_spy,vol_contraction,mtf_agree,trend_context,data_quality_flag,feat_volume_ratio,feat_volume_pctile,feat_spread_atr,feat_spread_pctile,feat_close_position,made_watchlist,transition
2026-06-17T11:52:50+00:00,BMY,daily,accumulation,29.09,29.09,29.52,0.0,100.0,8.55,,,n/a,8.55,,1.2471,68.0,0.8468,44.0,0.4017,False,none
2026-06-17T11:52:50+00:00,BNY,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.9537,40.0,0.9787,60.0,0.75,False,none
2026-06-17T11:52:50+00:00,BR,daily,accumulation,31.37,31.37,57.78,0.0,0.0,84.61,,,n/a,84.61,,1.0,52.0,0.4797,12.0,0.3722,False,none
2026-06-17T11:52:50+00:00,BRK-B,daily,distribution,17.67,17.67,-59.01,0.0,0.0,-14.57,,,n/a,-14.57,,0.8837,24.0,1.0477,68.0,0.3424,False,none
2026-06-17T11:52:50+00:00,BRO,daily,accumulation,10.7,10.7,0.0,0.0,0.0,53.5,,,n/a,53.5,,0.8342,20.0,0.4523,4.0,0.5062,False,none
2026-06-17T11:52:50+00:00,BSX,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.6191,4.0,0.5985,16.0,0.6857,False,none
2026-06-17T11:52:50+00:00,BX,daily,distribution,30.54,30.54,-54.69,0.0,0.0,-84.33,,,n/a,-84.33,,0.8767,32.0,0.59,8.0,0.7795,False,none
2026-06-17T11:52:50+00:00,BXP,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.9736,44.0,1.0886,68.0,0.2976,False,none
2026-06-17T11:52:50+00:00,C,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.1872,88.0,0.722,36.0,0.7918,False,none
2026-06-17T11:52:50+00:00,CAG,daily,accumulation,28.49,28.49,0.75,0.0,100.0,41.49,,,n/a,41.49,,1.0276,60.0,1.0219,56.0,0.3488,False,none
2026-06-17T11:52:50+00:00,CAH,daily,distribution,31.67,31.67,-87.35,0.0,0.0,-49.18,,,n/a,-49.18,,1.3039,80.0,0.9181,56.0,0.5329,False,none
2026-06-17T11:52:50+00:00,CARR,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,dropped 1 bar(s) with null OHLC,0.9418,36.0,0.665,32.0,0.0194,False,none
2026-06-17T11:52:50+00:00,CASY,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.8123,20.0,0.7455,44.0,0.0931,False,none
2026-06-17T11:52:50+00:00,CAT,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.0591,72.0,0.683,40.0,0.2838,False,none
2026-06-17T11:52:50+00:00,CB,daily,distribution,45.15,45.15,-31.49,-100.0,0.0,-11.37,,,n/a,-11.37,,0.691,12.0,0.9308,56.0,0.4825,False,none
2026-06-17T11:52:50+00:00,CBOE,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,2.3647,92.0,2.2851,100.0,0.0237,False,none
2026-06-17T11:52:50+00:00,CBRE,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.7011,20.0,0.558,16.0,0.3796,False,none
2026-06-17T11:52:50+00:00,CCEP,daily,distribution,26.8,26.8,-69.3,0.0,0.0,-47.37,,,n/a,-47.37,,0.9078,40.0,0.8256,36.0,0.3059,False,none
2026-06-17T11:52:50+00:00,CCI,daily,distribution,29.82,29.82,-6.26,0.0,-100.0,-41.27,,,n/a,-41.27,,1.0158,64.0,0.8222,40.0,0.2562,False,none
2026-06-17T11:52:50+00:00,CCL,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.0,52.0,0.7015,48.0,0.8193,False,none
2026-06-17T11:52:50+00:00,CDNS,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.8141,12.0,0.7017,40.0,0.0596,False,none
2026-06-17T11:52:50+00:00,CDW,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,dropped 1 bar(s) with null OHLC,1.5089,84.0,0.89,56.0,0.0426,False,none
2026-06-17T11:52:50+00:00,CEG,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,dropped 1 bar(s) with null OHLC,1.0189,56.0,0.7332,48.0,0.7076,False,none
2026-06-17T11:52:50+00:00,CF,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.0117,56.0,0.4576,4.0,0.3427,False,none
2026-06-17T11:52:50+00:00,CFG,daily,distribution,30.27,30.27,-50.41,0.0,0.0,-88.34,,,n/a,-88.34,dropped 1 bar(s) with null OHLC,1.0845,68.0,1.4408,96.0,0.0541,False,none
2026-06-17T11:52:50+00:00,CHD,daily,distribution,15.81,15.81,-46.14,0.0,0.0,-21.39,,,n/a,-21.39,,1.0,52.0,0.9821,52.0,0.2093,False,none
2026-06-17T11:52:50+00:00,CHTR,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.7777,20.0,0.7242,20.0,0.2156,False,none
2026-06-17T11:52:50+00:00,CI,daily,distribution,20.44,20.44,-34.98,0.0,0.0,-58.46,,,n/a,-58.46,,0.7603,8.0,1.0046,72.0,0.4776,False,none
2026-06-17T11:52:50+00:00,CIEN,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.5844,88.0,0.9437,68.0,0.0996,False,none
2026-06-17T11:52:50+00:00,CINF,daily,distribution,30.61,30.61,-86.16,0.0,0.0,-45.36,,,n/a,-45.36,,1.0722,60.0,0.8743,44.0,0.6753,False,none
2026-06-17T11:52:50+00:00,CL,daily,distribution,40.41,40.41,-52.96,0.0,-100.0,-35.85,,,n/a,-35.85,,1.0781,84.0,0.7555,40.0,0.2945,False,none
2026-06-17T11:52:50+00:00,CLX,daily,none,6.98,6.98,0.0,0.0,0.0,34.91,,,n/a,34.91,,0.9774,36.0,0.6766,32.0,0.6754,False,none
2026-06-17T11:52:50+00:00,CMCSA,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.0,52.0,1.3166,88.0,0.4096,False,none
2026-06-17T11:52:50+00:00,CME,daily,accumulation,53.98,53.98,18.16,100.0,0.0,72.18,,,n/a,72.18,,1.3038,84.0,1.7807,92.0,0.5311,False,none
